MedicalTerm,Readcode
TB,"['1411.00', '14P9.00', '65V9.00', '65V9.11', '65Y1.00', '65Y2.00', '65Y5.00', '65Y8.00', '65Y9.00', '65Y9.11', '8BAD100', 'A100.00', 'A101.00', 'A10..00', 'A10y.00', 'A10z.00', 'A110.00', 'A111.00', 'A112.00', 'A113.00', 'A114.00', 'A115.00', 'A116.00', 'A117.00', 'A11..00', 'A11..11', 'A11y.00', 'A11z.00', 'A120000', 'A120100', 'A120200', 'A120.00', 'A120z00', 'A121000', 'A121100', 'A121200', 'A121.00', 'A121z00', 'A122000', 'A122100', 'A122.00', 'A122z00', 'A123.00', 'A124000', 'A124100', 'A124200', 'A124300', 'A124400', 'A124500', 'A124600', 'A124700', 'A124.00', 'A125000', 'A125100', 'A125200', 'A125.00', 'A125X00', 'A12..00', 'A12y000', 'A12y100', 'A12y200', 'A12y300', 'A12y.00', 'A12yz00', 'A130000', 'A130100', 'A130300', 'A130.00', 'A130z00', 'A131.00', 'A132.00', 'A133.00', 'A134.00', 'A135.00', 'A136000', 'A136100', 'A136.00', 'A136z00', 'A13..00', 'A13y.00', 'A13z.00', 'A140.00', 'A14..00', 'A14y100', 'A14y200', 'A14y300', 'A14y400', 'A14y500', 'A14y.00', 'A14yz00', 'A14z.00', 'A150.00', 'A151.00', 'A152.00', 'A153.00', 'A154.00', 'A15..00', 'A15..11', 'A15..12', 'A15..13', 'A15x.00', 'A15y.00', 'A15z.00', 'A160000', 'A160100', 'A160200', 'A160.00', 'A160.11', 'A160z00', 'A161.00', 'A162.00', 'A163.00', 'A164.00', 'A165000', 'A165100', 'A165200', 'A165.00', 'A165z00', 'A166000', 'A166100', 'A166111', 'A166.00', 'A166z00', 'A167000', 'A167100', 'A167.00', 'A167z00', 'A168.00', 'A16..00', 'A16z.00', 'A170000', 'A170100', 'A170200', 'A170300', 'A170500', 'A170600', 'A170700', 'A170800', 'A170.00', 'A170.11', 'A170z00', 'A171000', 'A171100', 'A171.00', 'A171z00', 'A172000', 'A172011', 'A172100', 'A172200', 'A172.00', 'A172z00', 'A173000', 'A173100', 'A173200', 'A173300', 'A173400', 'A173.00', 'A173z00', 'A174.00', 'A175.00', 'A176.00', 'A177.00', 'A178.00', 'A17..00', 'A17y000', 'A17y100', 'A17y200', 'A17y300', 'A17y400', 'A17y.00', 'A17yz00', 'A17z.00', 'A180000', 'A180100', 'A180.00', 'A18..00', 'A18y.00', 'A18z.00', 'A1...00', 'A1y..00', 'A1z..00', 'AE00.00', 'AE01.00', 'AE02.00', 'AE03.00', 'AE04.00', 'AE0..00', 'AE0z.00', 'Ayu1000', 'Ayu1100', 'Ayu1300', 'Ayu1400', 'Ayu1600', 'Ayu1800', 'Ayu1900', 'Ayu1.00', 'AyuJ200', 'AyuJ400', 'F004.00', 'F033300', 'F033311', 'F040600', 'F041300', 'F4A5500', 'G500300', 'G500311', 'G520600', 'H450.00', 'J550200', 'K154800', 'K214300', 'K43..00', 'N018.00', 'N304000', 'N304100', 'N304200', 'N304300', 'N304.00', 'N304.11', 'N305000', 'N305100', 'N305200', 'N305300', 'N305400', 'N305500', 'N305.00', 'N306000', 'N306100', 'N306200', 'N306300', 'N306400', 'N306500', 'N306.00', 'N306z00', 'Q402400', 'ZV12A00', 'ZV12B00']"
TIA,"['14AB000', '14AB.00', '1B1S.00', '8CRB.00', 'F423600', 'Fyu5500', 'G650.11', 'G655.00', 'G656.00', 'G657.00', 'G65..00', 'G65..12', 'G65..13', 'G65y.00', 'G65z100', 'G65z.00', 'G65zz00', 'Z7CE700', 'Z7CE711', 'ZV12D00']"
TIN,"['K03T.00', 'K03y200', 'K0B1.00', 'K0B2.00', 'K0B4000', 'K0B4.00', 'K0B5.00', 'K0B..00', 'K0C0.00', 'K0C1.00', 'K0C2.00', 'K0C4.00', 'K0C5.00', 'K0C6.00', 'K0C..00', 'Kyu1000', 'Kyu1400', 'Kyu1E00', 'Kyu1.00']"
VT,"['14AP.00', '3282.00', 'G571.00', 'G571.11']"
acne,"['2FG5.00', 'M260000', 'M260.00', 'M260z00', 'M260z11', 'M261000', 'M261011', 'M261012', 'M261100', 'M261200', 'M261300', 'M261400', 'M261500', 'M261600', 'M261900', 'M261A00', 'M261B00', 'M261C00', 'M261F00', 'M261G00', 'M261J00', 'M261.00', 'M261X00', 'M261z00', 'M26y200', 'Myu6800', 'Myu6F00', 'N25..00']"
actinic_keratosis,"['7G09800', 'M222.00', 'M226.00', 'M226.11']"
agranulocytosis,"['42H2.00', '42H2.11', '42H4.00', '42J2.00', 'D400000', 'D400011', 'D400100', 'D400200', 'D400211', 'D400312', 'D400400', 'D400411', 'D400600', 'D400800', 'D400811', 'D400900', 'D400A00', 'D400.00', 'D400.11', 'D400.12', 'D400y00', 'D400z00']"
alc_problems,"['136S.00', '136T.00', '136W.00', '13Y8.00', '1462.00', '1B1c.00', '66e0.00', '66e..00', '7P22100', '8BA8.00', '8CAv.00', '8G32.00', '8H35.00', '8H7p.00', '8HkG.00', '8HkJ.00', '9k12.00', '9k1..00', '9k1A.00', '9k1B.00', '9NN2.00', 'C150500', 'C251.11', 'C253.00', 'E010.00', 'E010.11', 'E010.12', 'E011000', 'E011100', 'E011200', 'E011.00', 'E011z00', 'E012000', 'E012.00', 'E012.11', 'E013.00', 'E015.00', 'E01..00', 'E01y000', 'E01y.00', 'E01yz00', 'E01z.00', 'E230000', 'E230100', 'E230200', 'E230300', 'E230.00', 'E230.11', 'E230z00', 'E231000', 'E231100', 'E231200', 'E231300', 'E231.00', 'E231.11', 'E231z00', 'E23..00', 'E23..11', 'E23..12', 'E23z.00', 'Eu10100', 'Eu10200', 'Eu10211', 'Eu10212', 'Eu10213', 'Eu10300', 'Eu10400', 'Eu10411', 'Eu10500', 'Eu10511', 'Eu10512', 'Eu10513', 'Eu10514', 'Eu10600', 'Eu10611', 'Eu10700', 'Eu10711', 'Eu10712', 'Eu10800', 'Eu10.00', 'Eu10y00', 'Eu10z00', 'F11x000', 'F11x011', 'F144000', 'F25B.00', 'F375.00', 'F394100', 'G555.00', 'G852300', 'J153.00', 'J610.00', 'J611.00', 'J612000', 'J612.00', 'J613000', 'J613.00', 'J617000', 'J617.00', 'J670800', 'J671000', 'Z191100', 'Z191200', 'Z191211', 'Z191.00', 'Z4B1.00', 'ZV11300', 'ZV11311', 'ZV57A00', 'ZV6D600']"
allergic_rhinitis,"['14B1.00', 'H120000', 'H120100', 'H120200', 'H120300', 'H120400', 'H120500', 'H120600', 'H120700', 'H120.00', 'H120z00', 'H13..11', 'H170.00', 'H170.11', 'H170.12', 'H171000', 'H171100', 'H171.00', 'H171.11', 'H171.12', 'H171.13', 'H171.14', 'H171.15', 'H171.16', 'H172.00', 'H172.11', 'H17..00', 'H17..11', 'H17..12', 'H17z.00', 'H18..00', 'H330011', 'H330.13', 'Hyu2000', 'Hyu2100']"
alopecia_areata,"['M240100', 'M240111', 'M240B00', 'M240K00', 'M240U00', 'Myu6200']"
